Fecha,dia2,mes,year,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5,Punto 6,Punto 7,Punto 8,Punto 9,Punto 10,Punto 11,Punto 12,Punto 13,Punto 14,Punto 15,Punto 16,Punto 17
01/01/2019,1,1,2019,0,0,0,0,0,0,0,0,0,0,10016,0,0,0,0,38032,0
02/01/2019,2,1,2019,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,38032,0
03/01/2019,3,1,2019,0,0,0,0,0,0,0,0,334596,0,33200,0,0,0,0,0,0
04/01/2019,4,1,2019,0,0,0,0,0,0,22032,0,420424,0,0,0,0,0,0,19504,0
05/01/2019,5,1,2019,0,0,0,0,0,0,0,0,320722,0,10000,0,0,0,0,0,0
06/01/2019,6,1,2019,0,0,0,0,0,0,0,0,217850,0,10000,0,0,0,0,0,0
07/01/2019,7,1,2019,0,0,0,0,0,0,0,0,266502,0,33200,0,0,0,0,0,0
08/01/2019,8,1,2019,0,0,0,0,0,0,0,0,414854,0,74794,0,0,0,0,0,0
09/01/2019,9,1,2019,0,0,0,0,40000,0,110136,0,383810,0,33200,0,0,0,0,0,0
10/01/2019,10,1,2019,0,0,0,0,0,0,0,0,402810,0,33200,0,0,0,0,0,0
11/01/2019,11,1,2019,0,0,0,0,0,0,0,0,475992,0,38428,0,0,0,0,0,0
12/01/2019,12,1,2019,19300,0,0,0,0,0,0,0,473536,0,33200,0,0,0,0,10700,0
13/01/2019,13,1,2019,19300,0,0,0,0,0,0,0,473536,0,33200,0,0,0,0,46636,0
14/01/2019,14,1,2019,0,0,0,0,18198,0,0,0,473536,0,33200,0,0,0,0,0,0
15/01/2019,15,1,2019,13142,0,0,0,0,0,18080,0,450804,0,10000,0,0,0,0,0,5768
16/01/2019,16,1,2019,32226,0,0,0,0,0,34494,0,454380,0,10000,0,0,0,0,30016,11374
17/01/2019,17,1,2019,37794,0,0,9672,0,0,0,0,470630,0,10000,0,0,0,0,54210,7584
18/01/2019,18,1,2019,0,0,0,0,0,0,0,0,479344,0,10000,0,0,0,0,0,0
