Tipo,A¤o,Mes,Öndice (USD/MBtu),Tipo de cambio,Transacciones reportadas,Transacciones at¡picas,Volumen comercializado total (GJ)
IPGN,2017,Julio,4.1048,17.8513,101,3,97649053.1
IPGN,2017,Noviembre,4.1873,18.977,146,8,152457104.8
IPGN,2017,Septiembre,4.0913,17.7991,102,5,147493624.1
IPGN,2017,Agosto,4.3141,17.8078,118,4,239592565.7
IPGN,2017,Diciembre,4.0529,19.0625,150,3,159478582.7
IPGN,2017,Octubre,3.9677,18.7247,147,5,166330208.9
IPGN,2018,Enero,4.3379,19.0025,159,6,169033189.1
IPGN,2018,Febrero,4.5567,18.6282,153,7,162354004.8
IPGN,2018,Marzo,3.8882,18.6839,176,10,174857038.3
IPGN,2018,Abril,4.1321,18.3464,180,5,154646713.7
IPGN,2018,Mayo,4.0228,19.4894,179,8,160445522.8
IPGN,2018,Junio,3.8824,20.3105,183,7,170329829.7
IPGN,2018,Julio,4.0901,19.1171,205,9,215370674.4
IPGN,2018,Agosto,4.1336,18.8089,207,11,245943829.2
IPGN,2018,Septiembre,4.3292,19.0539,214,7,229240571.9
IPGN,2018,Octubre,3.659,19.0638,273,11,198724042.1
IPGN,2018,Noviembre,3.8866,20.25,291,11,212784184.4
IPGN,2018,Diciembre,4.6005,20.1775,294,13,196440198
IPGN,2019,Enero,4.3749,19.2154,286,13,205463002.7
IPGN,2019,Febrero,3.8204,19.1902,297,13,186743113.5
IPGN,2019,Marzo,3.1469,19.2339,311,13,210576916
IPGN,2019,Abril,2.8806,19.0231,252,9,179868052.2
IPGN,2019,Mayo,3.0014,19.0883,303,7,229542463.4
IPGN,2019,Junio,2.7825,19.2912,243,5,233195999.9
IPGN,2019,Julio,2.6236,19.0669,356,9,247247711.3
IPGN,2019,Agosto,2.8505,19.5896,326,33,263827975.8
IPGN,2019,Septiembre,3.2425,19.6242,328,46,241588228.2
IPGN,2019,Octubre,3.1577,19.3701,323,50,240331192.7
IPGN,2019,Noviembre,3.1535,19.2931,278,40,194769660.8
IPGN,2019,Diciembre,3.1898,19.1776,278,41,181505689.1
IPGN,2020,Enero,2.9203,18.806,298,37,199059083.1
IPGN,2020,Febrero,2.7131,18.7664,313,42,183170543.8
IPGN,2020,Marzo,2.2193,21.969,330,38,182249779.8
IPGN,2020,Abril,2.1299,24.2579,326,52,187023821.3
IPGN,2020,Mayo,2.3734,23.6004,288,39,146547078.6
IPGN,2020,Junio,2.3281,22.2153,290,35,186017228.1
IPGN,2020,Julio,2.287,22.4836,327,40,218836042.4
IPGN,2020,Agosto,2.6861,22.237,333,45,235289828.7
IPGN,2020,Septiembre,2.8561,21.645,336,41,225058037.1
IPGN,2020,Octubre,3.1045,21.3558,312,50,225120296.6
IPGN,2020,Noviembre,3.4534,20.5088,345,47,205053125.9
IPGN,2020,Diciembre,3.6358,19.9821,360,49,202232981.5
IPGN,2021,Enero,3.3908,19.8889,254,37,185882265.2
IPGN,2021,Febrero,21.3717,20.2415,262,30,163648186.6
IPGN,2021,Marzo,3.6129,20.7895,340,62,215921791.4
IPGN,2021,Abril,3.3766,20.0534,320,43,213479874.1
IPGN,2021,Mayo,3.7431,19.9829,409,52,233124249.1
Region I,2018,Febrero,6.0582,18.6282,9,0,19381138.1
Region I,2018,Marzo,5.6809,18.6839,9,0,17890735.6
Region I,2018,Abril,4.7772,18.3464,9,0,22524006
Region I,2018,Mayo,4.6665,19.4894,8,0,23348824.5
Region I,2018,Junio,4.2985,20.3105,10,0,29672516.9
Region I,2018,Julio,6.4064,19.1171,9,0,33491084.3
Region I,2018,Agosto,5.732,18.8089,9,0,33930664.4
Region I,2018,Septiembre,4.5797,19.0539,11,0,32015374.3
Region I,2018,Octubre,2.3231,19.0638,22,0,26719654.8
Region I,2018,Noviembre,2.4758,20.25,23,0,21212634.5
