year,Production (quad Btu),Coal (quad Btu),Natural gas (quad Btu),Petroleum and other liquids (quad Btu)
1980,5.713139956,0.065222808,0.9504,4.51468829
1981,6.741522583,0.064230425,1.020357,5.39274597
1982,7.792508797,0.077236981,1.09934,6.36541205
1983,7.658492701,0.098098144,1.080404,6.249886199
1984,7.886286362,0.106881792,1.064495,6.45618549
1985,7.82733977,0.109647797,1.049949,6.37931175
1986,7.098697245,0.118769277,0.931186,5.80625897
1987,7.347085644,0.131247969,0.943798,6.03683075
1988,7.351145266,0.117185687,0.95387,6.01543384
1989,7.373891754,0.125884876,0.9093,6.035417342
1990,7.639404451,0.146387093,1.003233,6.16596697
1991,7.960795678,0.13646326,1.003284,6.482371692
1992,7.964574567,0.128883141,0.975287292,6.473113989
1993,8.03406782,0.13967267,1.025031648,6.469709956
1994,8.156546966,0.18787716,1.057186132,6.584301226
1995,8.100622568,0.196787495,1.040589742,6.414045582
1996,8.806670568,0.217585316,1.195982381,6.918859212
1997,9.107713296,0.219696769,1.23539611,7.213913958
1998,9.349903302,0.237158492,1.326252847,7.373502407
1999,9.091875297,0.218028721,1.336625428,7.035488607
2000,9.380606305,0.239523321,1.364198674,7.28614606
2001,9.581778275,0.239544435,1.372425656,7.511085107
2002,9.652733719,0.231922087,1.412400576,7.583518491
2003,10.14394162,0.252635449,1.47960375,8.023308549
2004,10.2921022,0.27702274,1.477629747,8.108246806
2005,10.27376459,0.284518401,1.553416338,7.954186966
2006,10.33899825,0.317625997,1.743360537,7.784748971
2007,9.964632523,0.342414465,1.82756587,7.328422389
2008,9.382774226,0.305316222,1.855876387,6.66594017
2009,9.208205874,0.269104789,2.267048072,6.234327994
2010,8.855853117,0.323136892,1.845932154,6.188540823
2011,8.895480605,0.412113555,1.810403663,6.144922426
2012,8.701417147,0.332596205,1.759814277,6.123430821
2013,8.610918922,0.320666491,1.758943467,6.04273667
2014,8.380838523,0.323819965,1.62758005,5.837588198
2015,7.693924644,0.241205327,1.471924672,5.43210089
2016,7.340392802,0.290725037,1.337893831,5.169780732
2017,6.672288707,0.276650911,1.15088215,4.672601858
2018,6.285723779,0.28748957,1.031749759,4.341851969
2019,5.821553818,0.23760408,0.985764215,3.994545991
